,Количество км,Вид доставки,Время суток,Наличие грузчика,Стоимость
57,8113.999999999999,Минивэн,Ночь,1,2534.39
58,8275.0,Газель,Рабочее время,0,1064.71
59,8563.0,Легковой,Ночь,0,1303.05
60,4776.0,Газель,Ночь,1,1856.14
61,5510.0,Удлиненная газель,Раннее утро/поздний вечер,1,1739.89
62,5302.0,Удлиненная газель,Ночь,0,1221.84
63,5071.0,Газель,Ночь,0,1120.77
64,9230.0,Легковой,Раннее утро/поздний вечер,1,1940.43
65,11966.0,Минивэн,Ночь,0,2055.88
66,6977.0,Минивэн,Рабочее время,0,856.95
67,5235.0,Легковой,Раннее утро/поздний вечер,1,1484.75
68,9809.0,Удлиненная газель,Рабочее время,1,2039.31
69,5970.0,Газель,Ночь,1,1929.61
70,13342.0,Удлиненная газель,Ночь,1,4012.38
71,1625.0,Легковой,Раннее утро/поздний вечер,1,984.95
72,10237.0,Удлиненная газель,Раннее утро/поздний вечер,0,1956.64
73,6341.0,Газель,Ночь,1,2191.3
74,15057.0,Удлиненная газель,Раннее утро/поздний вечер,0,2837.15
75,13474.0,Легковой,Рабочее время,0,1384.32
76,5588.0,Газель,Раннее утро/поздний вечер,0,847.76
77,6990.0,Удлиненная газель,Раннее утро/поздний вечер,0,1170.41
78,13242.0,Газель,Рабочее время,1,2462.04
79,4970.0,Легковой,Раннее утро/поздний вечер,1,1340.08
80,11761.0,Газель,Рабочее время,0,1471.46
81,1686.0000000000002,Легковой,Раннее утро/поздний вечер,1,965.74
82,4369.0,Газель,Раннее утро/поздний вечер,0,638.72
83,12216.0,Легковой,Ночь,1,2816.06
84,9308.0,Минивэн,Ночь,0,1627.66
85,12939.0,Удлиненная газель,Раннее утро/поздний вечер,1,3008.91
86,15917.0,Минивэн,Рабочее время,1,2426.65
87,10000.0,Удлиненная газель,Рабочее время,0,1419.5
88,9237.0,Удлиненная газель,Рабочее время,0,1376.96
89,13219.0,Удлиненная газель,Рабочее время,1,2748.91
90,13049.0,Минивэн,Ночь,1,3379.35
91,6498.0,Газель,Ночь,1,2148.32
92,15426.0,Минивэн,Ночь,1,3716.12
93,8100.0,Легковой,Рабочее время,1,1600.16
94,15458.0,Минивэн,Рабочее время,1,2438.35
95,2864.0,Газель,Рабочее время,0,283.58
96,9079.0,Удлиненная газель,Ночь,0,2099.12
97,9752.0,Легковой,Ночь,0,1491.59
98,12288.0,Минивэн,Раннее утро/поздний вечер,0,1818.22
99,3126.0,Газель,Раннее утро/поздний вечер,1,1216.22
100,5077.0,Газель,Раннее утро/поздний вечер,0,817.18
101,3401.0,Удлиненная газель,Рабочее время,0,451.02
102,2521.0,Минивэн,Ночь,0,410.98
103,14821.0,Легковой,Ночь,1,3181.41
104,10701.0,Легковой,Рабочее время,1,1780.65
105,5410.0,Легковой,Ночь,1,1689.58
106,15190.0,Удлиненная газель,Рабочее время,1,3029.62
107,10744.0,Легковой,Рабочее время,0,1034.12
108,5781.0,Газель,Раннее утро/поздний вечер,1,1660.95
109,8924.0,Газель,Ночь,0,1754.15
110,6116.0,Минивэн,Рабочее время,0,835.72
111,10371.0,Газель,Раннее утро/поздний вечер,0,1610.59
112,7016.0,Минивэн,Ночь,1,2246.09
113,11673.0,Газель,Рабочее время,0,1482.83
114,3926.0,Легковой,Раннее утро/поздний вечер,1,1246.34
115,12588.0,Газель,Ночь,1,3437.96
116,12409.0,Минивэн,Рабочее время,1,2219.32
117,7192.0,Газель,Рабочее время,0,952.0
118,5388.0,Газель,Рабочее время,1,1367.71
119,11882.0,Минивэн,Ночь,0,2131.55
120,6027.0,Газель,Раннее утро/поздний вечер,0,997.33
121,3374.0,Газель,Рабочее время,1,1173.92
122,10952.0,Удлиненная газель,Раннее утро/поздний вечер,0,1802.03
123,2152.0,Удлиненная газель,Рабочее время,1,991.79
124,14223.0,Газель,Ночь,0,2902.71
125,14685.0,Легковой,Ночь,1,3055.09
126,8740.0,Легковой,Раннее утро/поздний вечер,0,1110.33
127,15890.0,Газель,Ночь,0,3080.21
128,6233.0,Газель,Раннее утро/поздний вечер,1,1853.04
129,15581.0,Газель,Ночь,1,3851.11
130,14246.0,Минивэн,Рабочее время,0,1825.7
131,14975.0,Минивэн,Рабочее время,0,1834.89
132,10620.0,Минивэн,Раннее утро/поздний вечер,0,1540.0
133,15066.0,Газель,Раннее утро/поздний вечер,1,3245.75
134,15441.0,Минивэн,Ночь,0,2830.82
135,3101.0,Минивэн,Раннее утро/поздний вечер,0,590.51
136,3474.0,Минивэн,Рабочее время,1,1124.2
137,10026.0,Легковой,Рабочее время,1,1785.86
138,13928.0,Газель,Ночь,0,2587.77
139,13555.0,Легковой,Раннее утро/поздний вечер,0,1615.03
140,9935.0,Газель,Рабочее время,1,1964.72
141,11847.0,Легковой,Ночь,1,2736.99
142,14851.0,Легковой,Рабочее время,0,1441.32
143,8029.0,Легковой,Ночь,1,2159.26
144,8356.0,Минивэн,Рабочее время,0,1075.77
145,2459.0,Газель,Раннее утро/поздний вечер,0,478.85
146,4809.0,Легковой,Рабочее время,1,1009.45
147,1947.0,Легковой,Ночь,0,326.61
148,7485.0,Удлиненная газель,Раннее утро/поздний вечер,0,1365.25
149,13370.0,Минивэн,Ночь,0,2499.51
150,7038.0,Удлиненная газель,Раннее утро/поздний вечер,0,1418.38
151,7946.999999999998,Легковой,Раннее утро/поздний вечер,0,967.2
152,8482.0,Минивэн,Ночь,0,1461.68
153,2901.0,Удлиненная газель,Рабочее время,0,461.34
154,6696.0,Удлиненная газель,Ночь,0,1545.82
155,10402.0,Минивэн,Рабочее время,0,1362.45
156,15050.0,Газель,Ночь,0,3069.76
157,11690.0,Легковой,Рабочее время,1,1729.62
158,15923.0,Легковой,Ночь,1,3173.02
159,9055.0,Газель,Рабочее время,1,1945.44
160,5399.0,Газель,Ночь,1,1999.33
161,14570.0,Минивэн,Раннее утро/поздний вечер,0,2079.87
162,14759.0,Удлиненная газель,Раннее утро/поздний вечер,0,2669.35
163,8351.0,Удлиненная газель,Раннее утро/поздний вечер,0,1541.26
164,5271.0,Легковой,Рабочее время,1,1210.62
165,6235.0,Газель,Раннее утро/поздний вечер,1,1754.89
166,4619.0,Минивэн,Раннее утро/поздний вечер,0,719.49
167,11501.0,Удлиненная газель,Рабочее время,1,2431.13
168,4543.0,Минивэн,Раннее утро/поздний вечер,0,673.01
169,5819.000000000001,Газель,Раннее утро/поздний вечер,0,918.66
170,11311.0,Легковой,Ночь,0,1840.52
171,13719.0,Удлиненная газель,Раннее утро/поздний вечер,0,2458.72
172,12596.0,Легковой,Рабочее время,0,1206.0
173,6646.0,Газель,Раннее утро/поздний вечер,0,946.07
174,3592.0,Минивэн,Рабочее время,0,441.96
175,6636.0,Минивэн,Рабочее время,1,1436.32
176,4956.0,Легковой,Рабочее время,1,1035.97
177,2311.0,Легковой,Ночь,0,370.57
178,9426.0,Легковой,Ночь,0,1476.4
179,7794.0,Газель,Рабочее время,0,984.34
180,6564.000000000001,Минивэн,Раннее утро/поздний вечер,1,1624.05
181,9108.0,Удлиненная газель,Раннее утро/поздний вечер,1,2517.74
182,12453.0,Удлиненная газель,Рабочее время,1,2443.47
183,6493.0,Легковой,Раннее утро/поздний вечер,0,803.28
184,1606.0,Минивэн,Рабочее время,1,876.33
185,3007.0,Легковой,Ночь,1,1276.87
186,7728.0,Минивэн,Ночь,0,1397.68
187,2766.0,Минивэн,Ночь,1,1456.5
188,2546.0,Газель,Рабочее время,0,426.4
189,2171.0,Минивэн,Ночь,0,361.19
190,12627.0,Удлиненная газель,Раннее утро/поздний вечер,1,2897.06
191,7858.0,Минивэн,Раннее утро/поздний вечер,0,1138.47
192,10726.0,Легковой,Рабочее время,0,1085.87
193,12032.0,Газель,Раннее утро/поздний вечер,1,2692.4
194,9390.0,Минивэн,Раннее утро/поздний вечер,1,2139.51
195,9362.0,Удлиненная газель,Рабочее время,1,2001.62
196,9700.0,Газель,Ночь,1,2819.55
197,12888.0,Минивэн,Рабочее время,1,2237.68
198,3474.0,Легковой,Ночь,1,1363.98
199,3273.0,Удлиненная газель,Ночь,1,1633.37
200,15935.0,Минивэн,Рабочее время,0,1984.92
201,12462.0,Удлиненная газель,Раннее утро/поздний вечер,0,2181.89
202,7580.0,Легковой,Рабочее время,1,1370.19
203,15022.0,Минивэн,Раннее утро/поздний вечер,1,2971.67
204,6601.0,Газель,Ночь,0,1180.97
205,5517.0,Газель,Раннее утро/поздний вечер,0,826.97
206,2494.0,Легковой,Раннее утро/поздний вечер,1,983.95
207,12906.0,Удлиненная газель,Ночь,1,3705.75
208,4056.0,Газель,Ночь,0,916.01
209,11877.0,Минивэн,Ночь,1,3067.17
210,9073.0,Газель,Ночь,1,2662.65
211,1381.0,Удлиненная газель,Ночь,0,291.39
212,11055.0,Удлиненная газель,Раннее утро/поздний вечер,0,2114.66
213,4322.0,Минивэн,Ночь,1,1632.49
214,1536.0,Удлиненная газель,Ночь,1,1236.02
215,2653.0,Легковой,Раннее утро/поздний вечер,0,423.23
216,6591.0,Минивэн,Ночь,1,2081.47
217,12332.0,Легковой,Ночь,1,2771.69
218,6029.0,Минивэн,Рабочее время,1,1488.54
219,2314.0,Минивэн,Ночь,0,424.48
220,8089.0,Газель,Рабочее время,1,1699.06
221,12898.0,Минивэн,Раннее утро/поздний вечер,0,1758.49
222,12666.0,Удлиненная газель,Ночь,1,3736.0
223,7689.0,Удлиненная газель,Рабочее время,0,1149.37
224,13326.0,Легковой,Рабочее время,1,2046.37
225,12677.0,Минивэн,Рабочее время,0,1597.34
226,13738.0,Газель,Рабочее время,1,2437.52
227,14903.0,Минивэн,Ночь,1,3463.29
228,5242.0,Удлиненная газель,Рабочее время,0,861.91
229,3612.0,Минивэн,Рабочее время,1,1032.3
230,2557.0,Легковой,Раннее утро/поздний вечер,0,336.94
231,9178.0,Минивэн,Ночь,1,2567.89
232,11849.0,Удлиненная газель,Рабочее время,0,1698.84
233,2528.0,Газель,Раннее утро/поздний вечер,1,1087.79
234,8889.0,Легковой,Рабочее время,0,999.14
235,4714.0,Легковой,Рабочее время,1,1034.28
236,9912.0,Удлиненная газель,Ночь,0,2162.17
237,2117.0,Газель,Ночь,0,506.7
238,9853.0,Легковой,Рабочее время,1,1662.99
239,6734.0,Удлиненная газель,Рабочее время,1,1514.07
240,11130.0,Удлиненная газель,Раннее утро/поздний вечер,1,2740.0
241,1080.0,Легковой,Рабочее время,0,290.4
242,3592.0,Легковой,Раннее утро/поздний вечер,0,452.47
243,4363.0,Легковой,Ночь,1,1583.02
244,14798.0,Удлиненная газель,Ночь,1,4137.75
245,6438.0,Удлиненная газель,Ночь,1,2428.09
246,13060.0,Газель,Раннее утро/поздний вечер,1,2760.48
247,2361.0,Газель,Ночь,1,1481.49
248,4700.0,Удлиненная газель,Раннее утро/поздний вечер,0,839.57
249,12178.0,Удлиненная газель,Рабочее время,0,1997.9
250,2520.0,Минивэн,Рабочее время,1,860.23
251,4031.0000000000005,Минивэн,Ночь,0,790.82
252,11373.0,Газель,Рабочее время,1,2122.8
253,10571.0,Легковой,Раннее утро/поздний вечер,0,1210.82
254,2040.0,Газель,Рабочее время,0,380.3
255,4403.0,Легковой,Ночь,1,1563.35
256,13085.0,Удлиненная газель,Ночь,1,3844.52
257,10967.0,Минивэн,Ночь,0,1906.94
258,6411.0,Легковой,Рабочее время,0,680.72
259,6059.0,Газель,Рабочее время,0,809.28
260,15624.0,Газель,Рабочее время,0,1954.25
261,13779.0,Удлиненная газель,Ночь,1,3849.34
262,4186.0,Легковой,Ночь,0,676.35
263,13587.0,Минивэн,Раннее утро/поздний вечер,1,2786.7
264,10401.0,Легковой,Раннее утро/поздний вечер,0,1390.77
265,6848.0,Удлиненная газель,Раннее утро/поздний вечер,0,1177.73
266,12177.0,Газель,Раннее утро/поздний вечер,1,2727.16
267,1768.0,Минивэн,Ночь,0,347.98
268,4268.0,Легковой,Ночь,1,1587.83
269,15297.0,Легковой,Раннее утро/поздний вечер,1,2656.81
270,4422.0,Газель,Ночь,1,1822.41
271,10517.0,Легковой,Рабочее время,1,1667.08
272,5292.0,Легковой,Рабочее время,0,671.88
273,7035.0,Удлиненная газель,Рабочее время,1,1695.42
274,11782.0,Легковой,Рабочее время,0,1121.8
275,2516.0,Минивэн,Ночь,0,555.59
276,10157.0,Удлиненная газель,Рабочее время,0,1607.02
277,14330.0,Минивэн,Рабочее время,0,1760.5
278,14694.0,Удлиненная газель,Ночь,0,3313.76
279,12136.0,Газель,Раннее утро/поздний вечер,1,2636.41
280,9235.0,Газель,Ночь,0,1904.77
281,11277.0,Удлиненная газель,Ночь,1,3396.98
282,6159.0,Газель,Ночь,1,2169.44
283,2774.0,Удлиненная газель,Раннее утро/поздний вечер,1,1264.0
284,7843.0,Минивэн,Раннее утро/поздний вечер,1,1912.68
285,4352.0,Газель,Раннее утро/поздний вечер,1,1441.6
286,8250.0,Газель,Ночь,1,2480.22
287,2901.0,Газель,Рабочее время,1,1010.55
288,6527.0,Легковой,Рабочее время,0,636.79
289,7161.0,Минивэн,Раннее утро/поздний вечер,0,1021.49
290,6841.0,Минивэн,Ночь,1,2071.41
291,1692.0,Удлиненная газель,Рабочее время,0,191.65
292,1704.0,Минивэн,Ночь,1,1213.59
293,13175.0,Легковой,Ночь,1,2995.19
294,5475.0,Легковой,Раннее утро/поздний вечер,1,1355.09
295,4731.0,Легковой,Ночь,1,1510.75
296,3710.0,Легковой,Раннее утро/поздний вечер,1,1140.49
297,12039.0,Удлиненная газель,Ночь,1,3788.67
298,9032.0,Легковой,Раннее утро/поздний вечер,0,1091.5
299,6362.0,Минивэн,Рабочее время,0,892.18
300,2750.0,Минивэн,Рабочее время,1,1029.67
301,10247.0,Газель,Ночь,0,1996.8
302,5856.0,Газель,Рабочее время,1,1286.32
303,12315.0,Удлиненная газель,Раннее утро/поздний вечер,1,2975.16
304,3808.0,Удлиненная газель,Раннее утро/поздний вечер,1,1357.55
305,5087.0,Минивэн,Рабочее время,0,686.59
306,13744.0,Легковой,Ночь,1,2983.92
307,14070.0,Газель,Ночь,0,2859.97
308,9652.0,Удлиненная газель,Рабочее время,0,1352.18
309,7251.0,Газель,Раннее утро/поздний вечер,0,1170.76
310,4263.0,Легковой,Рабочее время,0,462.95
311,14134.0,Газель,Раннее утро/поздний вечер,1,3084.44
312,7922.0,Удлиненная газель,Раннее утро/поздний вечер,0,1331.72
313,2913.0,Легковой,Рабочее время,1,832.8
314,11787.0,Минивэн,Рабочее время,0,1347.11
315,3183.0,Газель,Раннее утро/поздний вечер,1,1322.91
316,6228.0,Удлиненная газель,Ночь,0,1497.73
317,5924.0,Минивэн,Ночь,1,1864.3
318,10925.0,Газель,Ночь,0,1994.59
319,1598.0,Минивэн,Ночь,1,1258.31
320,13094.0,Газель,Ночь,0,2623.57
321,5309.0,Легковой,Ночь,1,1748.66
322,10417.0,Минивэн,Ночь,0,1886.54
323,13595.0,Газель,Раннее утро/поздний вечер,1,2905.25
324,11073.0,Минивэн,Раннее утро/поздний вечер,1,2463.18
325,1844.0,Удлиненная газель,Ночь,1,1214.42
326,9710.0,Удлиненная газель,Рабочее время,1,2070.24
327,3658.0,Минивэн,Рабочее время,1,978.35
328,3474.0,Газель,Ночь,0,763.51
329,8453.0,Легковой,Рабочее время,0,943.25
330,3782.0,Удлиненная газель,Ночь,1,1732.34
331,14780.0,Минивэн,Рабочее время,1,2369.64
332,6895.0,Легковой,Раннее утро/поздний вечер,0,834.92
333,3733.0,Минивэн,Рабочее время,1,1103.3
334,8916.0,Удлиненная газель,Ночь,0,1806.5
335,6887.0,Удлиненная газель,Ночь,0,1426.59
336,14719.0,Удлиненная газель,Ночь,0,3288.96
337,3453.0,Газель,Рабочее время,1,1032.94
338,15469.0,Легковой,Раннее утро/поздний вечер,1,2718.64
339,14552.0,Газель,Рабочее время,0,1981.52
340,4314.0,Легковой,Ночь,0,763.59
341,14208.0,Газель,Раннее утро/поздний вечер,0,2198.49
342,13763.0,Газель,Рабочее время,1,2352.91
343,8370.0,Легковой,Рабочее время,0,849.96
344,2332.0,Легковой,Раннее утро/поздний вечер,1,1111.86
345,2952.0,Минивэн,Рабочее время,1,912.44
346,9518.0,Газель,Раннее утро/поздний вечер,0,1497.69
347,4686.0,Минивэн,Ночь,1,1786.44
348,4277.0,Удлиненная газель,Раннее утро/поздний вечер,0,737.21
349,11764.0,Удлиненная газель,Раннее утро/поздний вечер,0,1994.43
350,11722.0,Минивэн,Ночь,1,3061.87
351,9737.0,Минивэн,Ночь,1,2547.09
352,14778.0,Легковой,Раннее утро/поздний вечер,0,1788.43
353,4304.0,Минивэн,Рабочее время,0,533.56
354,7674.0,Легковой,Рабочее время,1,1314.14
355,3808.0,Легковой,Ночь,1,1417.79
356,6905.0,Удлиненная газель,Ночь,1,2275.19
357,7591.0,Удлиненная газель,Ночь,1,2500.84
358,7987.0,Легковой,Ночь,1,2066.92
359,14669.0,Удлиненная газель,Ночь,1,4208.77
360,14314.0,Легковой,Раннее утро/поздний вечер,1,2413.51
361,10737.0,Газель,Рабочее время,0,1447.07
362,1145.0,Легковой,Раннее утро/поздний вечер,1,995.01
363,12748.0,Удлиненная газель,Рабочее время,1,2597.93
364,10468.0,Легковой,Ночь,1,2457.53
365,12204.0,Минивэн,Ночь,1,3233.75
366,8660.0,Газель,Ночь,0,1720.25
367,14631.0,Удлиненная газель,Ночь,0,3340.54
368,8617.0,Легковой,Ночь,0,1246.94
369,2845.0,Удлиненная газель,Раннее утро/поздний вечер,0,395.03
370,12890.0,Легковой,Рабочее время,1,1809.91
371,6856.0,Удлиненная газель,Ночь,0,1425.59
372,7274.0,Минивэн,Раннее утро/поздний вечер,1,1783.93
373,9049.0,Удлиненная газель,Рабочее время,0,1418.59
374,4995.0,Удлиненная газель,Ночь,0,1055.08
375,13262.0,Газель,Раннее утро/поздний вечер,0,2072.49
376,3184.0,Газель,Раннее утро/поздний вечер,1,1324.45
377,10319.0,Минивэн,Рабочее время,0,1359.26
378,9965.0,Газель,Ночь,0,1844.67
379,7321.0,Удлиненная газель,Раннее утро/поздний вечер,1,2091.03
380,7808.0,Газель,Рабочее время,0,1057.83
381,7337.0,Газель,Раннее утро/поздний вечер,0,1126.59
382,15058.0,Минивэн,Раннее утро/поздний вечер,1,3067.99
383,4713.0,Удлиненная газель,Рабочее время,0,632.7
384,10581.0,Удлиненная газель,Рабочее время,0,1631.2
385,4644.0,Газель,Рабочее время,0,553.66
386,15366.0,Минивэн,Раннее утро/поздний вечер,0,2246.42
387,2551.0,Газель,Рабочее время,0,421.4
388,7187.0,Легковой,Ночь,1,1997.03
389,11300.0,Удлиненная газель,Рабочее время,1,2329.61
390,7740.0,Удлиненная газель,Рабочее время,0,1210.26
391,1754.0,Удлиненная газель,Ночь,0,273.53
392,8582.0,Удлиненная газель,Ночь,1,2802.02
393,12147.0,Минивэн,Рабочее время,0,1587.04
394,7819.0,Газель,Раннее утро/поздний вечер,0,1218.9
395,3253.0,Газель,Раннее утро/поздний вечер,0,643.41
396,1142.0,Минивэн,Ночь,1,1121.83
397,11126.0,Газель,Рабочее время,0,1575.91
398,1279.0,Удлиненная газель,Раннее утро/поздний вечер,1,988.51
399,12005.0,Легковой,Раннее утро/поздний вечер,1,2164.66
400,2449.0,Легковой,Ночь,0,378.95
401,6908.0,Газель,Ночь,0,1258.0
402,5379.0,Удлиненная газель,Раннее утро/поздний вечер,1,1639.38
403,3074.0,Минивэн,Ночь,0,544.42
404,3630.0,Удлиненная газель,Рабочее время,1,1199.56
405,5552.0,Газель,Раннее утро/поздний вечер,0,962.24
406,1090.0,Газель,Раннее утро/поздний вечер,1,1009.87
407,11257.0,Газель,Ночь,0,2226.79
408,3858.0,Удлиненная газель,Рабочее время,1,1178.08
409,14205.0,Минивэн,Ночь,1,3535.4
410,13004.0,Легковой,Рабочее время,0,1294.36
411,1098.0,Газель,Ночь,0,267.65
412,11345.0,Минивэн,Ночь,1,2905.49
413,12613.0,Легковой,Рабочее время,1,1952.89
414,8051.000000000001,Минивэн,Ночь,0,1491.21
415,13476.0,Газель,Раннее утро/поздний вечер,1,2846.41
416,9312.0,Легковой,Ночь,1,2312.32
417,4717.0,Газель,Ночь,0,957.14
418,10729.0,Легковой,Ночь,1,2559.26
419,8163.0,Легковой,Рабочее время,0,893.05
420,14980.0,Удлиненная газель,Рабочее время,1,2900.34
421,8873.0,Удлиненная газель,Раннее утро/поздний вечер,1,2183.31
422,1892.0,Легковой,Ночь,1,1051.55
423,5247.0,Легковой,Рабочее время,0,507.34
424,10888.0,Удлиненная газель,Ночь,0,2337.89
425,4364.0,Легковой,Ночь,0,664.25
426,11969.0,Газель,Раннее утро/поздний вечер,1,2589.17
427,10885.0,Газель,Рабочее время,0,1384.91
428,13332.0,Минивэн,Рабочее время,0,1711.72
429,1203.0,Минивэн,Рабочее время,1,912.76
430,3769.0,Удлиненная газель,Ночь,1,1628.65
431,9018.0,Минивэн,Раннее утро/поздний вечер,1,2138.11
432,6384.0,Минивэн,Раннее утро/поздний вечер,1,1783.54
433,5165.0,Минивэн,Раннее утро/поздний вечер,0,894.92
434,9417.0,Минивэн,Рабочее время,1,1806.99
435,9568.0,Минивэн,Ночь,0,1748.5
436,3426.0,Удлиненная газель,Ночь,1,1706.08
437,4490.0,Минивэн,Ночь,1,1650.39
438,5600.0,Удлиненная газель,Ночь,0,1190.06
439,1117.0,Легковой,Раннее утро/поздний вечер,1,847.24
440,5546.0,Легковой,Ночь,1,1836.21
441,9927.0,Легковой,Ночь,1,2296.62
442,14856.0,Минивэн,Рабочее время,0,1725.93
443,9917.0,Минивэн,Рабочее время,1,1686.52
444,8589.0,Минивэн,Раннее утро/поздний вечер,1,1898.71
445,14501.0,Легковой,Ночь,1,3171.41
446,4197.0,Минивэн,Раннее утро/поздний вечер,0,656.73
447,4594.0,Газель,Раннее утро/поздний вечер,1,1364.06
448,7517.0,Газель,Ночь,1,2306.95
449,10617.0,Газель,Ночь,1,2897.08
450,10521.0,Удлиненная газель,Ночь,1,3241.13
451,2723.0,Газель,Рабочее время,1,892.86
452,12416.0,Минивэн,Рабочее время,0,1516.18
453,6769.0,Легковой,Рабочее время,0,659.2
454,7884.0,Легковой,Рабочее время,0,764.05
455,11812.0,Минивэн,Ночь,1,3022.17
456,1486.0,Минивэн,Ночь,0,236.03
457,4160.0,Удлиненная газель,Раннее утро/поздний вечер,1,1450.2
458,1365.0,Минивэн,Ночь,1,1244.66
459,2980.0,Газель,Рабочее время,1,1009.58
460,11348.0,Газель,Ночь,0,2228.33
461,15202.0,Удлиненная газель,Раннее утро/поздний вечер,0,2722.49
462,10675.0,Газель,Раннее утро/поздний вечер,1,2405.38
463,15545.0,Газель,Раннее утро/поздний вечер,1,3214.56
464,2762.0,Газель,Раннее утро/поздний вечер,1,1161.8
465,7152.0,Легковой,Раннее утро/поздний вечер,1,1622.48
466,2194.0,Легковой,Раннее утро/поздний вечер,0,304.36
467,8080.0,Легковой,Рабочее время,0,870.25
468,15951.0,Газель,Рабочее время,1,2681.33
469,2744.0,Удлиненная газель,Раннее утро/поздний вечер,1,1174.33
470,5505.0,Легковой,Ночь,1,1755.13
471,10436.0,Легковой,Раннее утро/поздний вечер,1,1996.47
472,10972.0,Удлиненная газель,Ночь,1,3171.68
473,15183.0,Удлиненная газель,Раннее утро/поздний вечер,1,3552.71
474,5172.0,Газель,Рабочее время,1,1251.61
475,10495.0,Минивэн,Раннее утро/поздний вечер,0,1445.17
476,3617.0,Легковой,Раннее утро/поздний вечер,0,546.89
477,12403.0,Газель,Раннее утро/поздний вечер,1,2722.85
478,5792.0,Удлиненная газель,Рабочее время,1,1501.63
479,2000.0,Легковой,Раннее утро/поздний вечер,1,869.65
480,1133.0,Газель,Раннее утро/поздний вечер,0,263.27
481,2911.0,Газель,Раннее утро/поздний вечер,0,381.48
482,6687.0,Газель,Ночь,0,1316.98
483,6315.0,Газель,Раннее утро/поздний вечер,1,1855.38
484,9262.0,Легковой,Раннее утро/поздний вечер,0,1081.71
485,8776.0,Легковой,Ночь,0,1206.08
486,3940.0,Легковой,Рабочее время,0,490.16
487,8943.0,Минивэн,Раннее утро/поздний вечер,0,1292.74
488,7158.0,Легковой,Ночь,1,2108.09
489,3190.0,Минивэн,Рабочее время,0,409.96
490,5440.0,Удлиненная газель,Раннее утро/поздний вечер,0,930.21
491,5854.0,Удлиненная газель,Раннее утро/поздний вечер,1,1643.56
